,sentence,match,probability,model,dataset
0,a,match,0.26315980525001514,ViT-H-14,connell2007
1,a,match,0.20720574418743654,ViT-H-14,connell2007
2,a,match,0.2664553774299838,ViT-H-14,connell2007
3,a,match,0.23003864475889835,ViT-H-14,connell2007
4,a,match,0.2333411326915037,ViT-H-14,connell2007
5,a,match,0.21132566848477952,ViT-H-14,connell2007
6,a,match,0.19049164695713383,ViT-H-14,connell2007
7,a,match,0.19951686431222204,ViT-H-14,connell2007
8,a,match,0.25695168680460767,ViT-H-14,connell2007
9,a,match,0.23971376201809136,ViT-H-14,connell2007
10,a,match,0.1742727023505104,ViT-H-14,connell2007
11,a,match,0.21529190963632983,ViT-H-14,connell2007
12,a,mismatch,0.24971907888698253,ViT-H-14,connell2007
13,a,mismatch,0.16283292250437675,ViT-H-14,connell2007
14,a,mismatch,0.25403253633080247,ViT-H-14,connell2007
15,a,mismatch,0.21886994642816981,ViT-H-14,connell2007
16,a,mismatch,0.25446013866246797,ViT-H-14,connell2007
17,a,mismatch,0.194228680068116,ViT-H-14,connell2007
18,a,mismatch,0.17877016632203913,ViT-H-14,connell2007
19,a,mismatch,0.2135949759146054,ViT-H-14,connell2007
20,a,mismatch,0.2485914966414302,ViT-H-14,connell2007
21,a,mismatch,0.22705298815311725,ViT-H-14,connell2007
22,a,mismatch,0.179237833636128,ViT-H-14,connell2007
23,a,mismatch,0.17878787662738704,ViT-H-14,connell2007
24,b,match,0.23355092945416156,ViT-H-14,connell2007
25,b,match,0.16803237058250298,ViT-H-14,connell2007
26,b,match,0.2424816477651235,ViT-H-14,connell2007
27,b,match,0.27830207506813975,ViT-H-14,connell2007
28,b,match,0.265360967648708,ViT-H-14,connell2007
29,b,match,0.23323893486237357,ViT-H-14,connell2007
30,b,match,0.1837777171533449,ViT-H-14,connell2007
31,b,match,0.2099606797355723,ViT-H-14,connell2007
32,b,match,0.24484978406483515,ViT-H-14,connell2007
33,b,match,0.233499059322972,ViT-H-14,connell2007
34,b,match,0.20314384605423608,ViT-H-14,connell2007
35,b,match,0.19232610557296415,ViT-H-14,connell2007
36,b,mismatch,0.2294328222406753,ViT-H-14,connell2007
37,b,mismatch,0.20839459968710972,ViT-H-14,connell2007
38,b,mismatch,0.2553454077951245,ViT-H-14,connell2007
39,b,mismatch,0.1718795406251128,ViT-H-14,connell2007
40,b,mismatch,0.23642198162038386,ViT-H-14,connell2007
41,b,mismatch,0.21023021363878924,ViT-H-14,connell2007
42,b,mismatch,0.18697064851451406,ViT-H-14,connell2007
43,b,mismatch,0.1906503015230432,ViT-H-14,connell2007
44,b,mismatch,0.2509210982758493,ViT-H-14,connell2007
45,b,mismatch,0.24403589578573182,ViT-H-14,connell2007
46,b,mismatch,0.17955285955451583,ViT-H-14,connell2007
47,b,mismatch,0.1937918592295299,ViT-H-14,connell2007
